Category,Functional Action,whit3rabbit/camoufox-mcp,rlgrpe/camoufox-browser-cli,redf0x1/camofox-mcp,Sekinal/camoufox-mcp,RobithYusuf/mcp-camoufox
Assertions & Locators,Verify Value,,,,verify_value,
Assertions & Locators,Verify Text Visible,,,,verify_text_visible,
Assertions & Locators,Verify List Visible,,,,verify_list_visible,
Assertions & Locators,Verify Element Visible,,,,verify_element_visible,
Assertions & Locators,Verify Element Hidden,,,,verify_element_hidden,
Assertions & Locators,Expect Element,,,,expect_element,
Assertions & Locators,Assert Url Matches,,,,,assert_url_matches
Assertions & Locators,Assert Text Present,,,,,assert_text_present
Assertions & Locators,Assert Element Visible,,,,,assert_element_visible
Batch & Sequences,Navigate and Take Snapshot,,,navigate_and_snapshot,,navigate_and_snapshot
Batch & Sequences,Fill Multiple Form Fields,,browser_fill_form,fill_form,fill_form,fill_form
Batch & Sequences,Batch Actions Sequence,browse_sequence,,,batch_actions,batch_actions
Browser Lifecycle,Reset Profile,,,,,reset_profile
Browser Lifecycle,Launch Browser,browse_session_start,,create_tab,launch_browser,browser_launch
Browser Lifecycle,Install Browser Binary,,browser_install,,,
Browser Lifecycle,Get Browser/Session Health & Status,camoufox_status,,server_status,browser_health_check,server_status
Browser Lifecycle,Close Browser,browse_session_close,browser_close,camofox_close_session,close_browser,browser_close
Data Extraction,Scrape Page,,,,,scrape_page
Data Extraction,Find Data Sources,,,,find_data_sources,
Data Extraction,Find By Text,,,,,find_by_text
Data Extraction,Find By Placeholder,,,,,find_by_placeholder
Data Extraction,Find By Label,,,,,find_by_label
Data Extraction,Find,browse_find,,,,
Data Extraction,Extract Table,,,,,extract_table
Data Extraction,Extract Resources,,,extract_resources,,
Dialog Handles,Handle Dialog,,browser_handle_dialog,,,
Dialog Handles,Handle Dialog,,,,handle_dialog,
Dialog Handles,Dialog Handler,,,,dialog_handler,
Dialog Handles,Dialog Handle,,,,,dialog_handle
Downloads,List Downloads,,,list_downloads,,
Downloads,Get Download,,,get_download,,
Downloads,Delete Download,,,delete_download,,
Downloads,Batch Download,,,batch_download,,
Emulation,Emulate Network,,,,emulate_network,
Emulation,Emulate Device,,,,emulate_device,
Emulation,Clear Emulation,,,,clear_emulation,
Frame Management,List Frames,,,,list_frames,
Frame Management,List Frames,,,,,list_frames
