issuer,all_count,free_count,paid_count,none_count
Cisco,211984,14901,117581,79502
Microsoft,38463,0,0,38463
IBM,28963,23726,1363,3874
Amazon Web Services Training and Certification,28257,0,0,28257
Coursera,9884,63,5502,4319
The Linux Foundation,8547,2886,5473,188
Project Management Institute,6667,966,5121,580
"SAFe by Scaled Agile, Inc.",6190,114,2,6074
CompTIA,5000,0,0,5000
SAP,4470,14,2156,2300
Scrum.org,3807,0,3807,0
ISC2,3738,38,33,3667
Broadcom,3550,45,11,3494
Oracle,3290,5,0,3285
ISACA,2913,0,17,2896
Global Information Assurance Certification (GIAC),2613,0,2307,306
Meta,2390,53,57,2280
IBM Professional Certification,2291,6,632,1653
Microsoft Elevate,2201,417,0,1784
Adobe,2127,0,455,1672
Section AI,2099,6,2076,17
Google Cloud,2069,0,0,2069
Certiprof,1930,1246,673,11
Pragmatic Institute,1902,0,1867,35
World Education Services,1802,0,0,1802
ICF Credentials and Standards,1658,0,1658,0
APMG International,1647,0,120,1527
International Coaching Federation,1579,1,1082,496
EY,1449,0,0,1449
Tableau,1401,640,601,160
SAS,1360,0,199,1161
USF Office of Microcredentials,1313,0,7,1306
Prosci,1308,0,1229,79
The Microsoft Garage,1261,6,0,1255
Pendo,1124,537,561,26
McKinsey & Company,1101,0,0,1101
The Open Group,1065,0,164,901
IBM SkillsBuild,1064,1064,0,0
Red Hat,1062,171,589,302
Society for Human Resource Management,961,14,829,118
Microsoft OpenHack,897,0,0,897
Microsoft Accessibility,895,894,0,1
Adobe Education,873,95,3,775
ConnectED - CE&S Learning Community,871,1,0,870
The Chartered Institute of Marketing,871,0,508,363
Snowflake,814,505,302,7
PwC,809,0,0,809
AttackIQ,777,777,0,0
iPEC Coaching,744,0,299,445
HRCI,711,0,0,711
DigitalMarketer,694,0,694,0
Microsoft Most Valuable Professionals Program,688,0,0,688
Microsoft Global Challenger,667,0,0,667
The Trade Desk,652,0,0,652
Nutanix,648,82,385,181
Microsoft - INSEAD,637,0,0,637
Hewlett Packard Enterprise,623,64,540,19
HPE Networking,600,0,6,594
Microsoft Advertising,570,562,0,8
Celonis,565,420,142,3
MICROSOFT,565,10,0,555
Microsoft 365 & Power Platform Community,555,0,0,555
Microsoft Azure Data Explorer,540,20,0,520
Microsoft Student Ambassadors,534,33,0,501
GitHub,530,10,520,0
Cloud Software Group,528,0,20,508
Offensive Security,527,0,527,0
McKinsey.org,525,525,0,0
