issuer,all_count,free_count,paid_count,none_count
Cisco,209073,14541,117174,77358
Microsoft,27928,0,0,27928
Amazon Web Services Training and Certification,18234,0,0,18234
IBM,17727,14655,764,2308
Coursera,6350,36,3469,2845
The Linux Foundation,5257,1698,3450,109
Project Management Institute,4743,551,3724,468
CompTIA,4059,0,0,4059
"SAFe by Scaled Agile, Inc.",3968,65,2,3901
SAP,3076,9,1767,1300
Broadcom,2994,24,9,2961
ISC2,2776,22,17,2737
Scrum.org,2116,0,2116,0
Oracle,1904,3,0,1901
Global Information Assurance Certification (GIAC),1842,0,1605,237
ISACA,1795,0,9,1786
Meta,1711,39,43,1629
Microsoft Elevate,1705,394,0,1311
Google Cloud,1653,0,0,1653
Adobe,1581,0,377,1204
IBM Professional Certification,1517,3,367,1147
International Coaching Federation,1257,1,830,426
Certiprof,1253,803,443,7
ICF Credentials and Standards,1109,0,1109,0
APMG International,1093,0,71,1022
World Education Services,1051,0,0,1051
Section AI,993,3,983,7
Pragmatic Institute,873,0,857,16
IBM SkillsBuild,828,828,0,0
Tableau,802,344,364,94
SAS,770,0,110,660
USF Office of Microcredentials,765,0,3,762
Red Hat,755,98,494,163
EY,699,0,0,699
The Microsoft Garage,660,2,0,658
Prosci,656,0,615,41
Adobe Education,651,62,1,588
Society for Human Resource Management,644,9,541,94
The Chartered Institute of Marketing,595,0,371,224
The Open Group,594,0,89,505
Pendo,576,292,268,16
McKinsey & Company,574,0,0,574
HRCI,553,0,0,553
DigitalMarketer,533,0,533,0
PwC,527,0,0,527
AttackIQ,490,490,0,0
Snowflake,479,268,206,5
Nutanix,478,54,305,119
HPE Networking,478,0,3,475
Microsoft OpenHack,464,0,0,464
ConnectED - CE&S Learning Community,452,1,0,451
Microsoft Most Valuable Professionals Program,450,0,0,450
iPEC Coaching,430,0,173,257
Microsoft Accessibility,428,427,0,1
Hewlett Packard Enterprise,425,50,363,12
Microsoft Advertising,423,419,0,4
GitHub,412,6,406,0
"Certiport, a Pearson VUE business",395,0,1,394
Cloud Software Group,388,0,16,372
Fortinet,362,247,110,5
International Coaching Federation Professional Coaches,360,0,0,360
Microsoft 365 & Power Platform Community,358,0,0,358
Splunk,356,6,310,40
Offensive Security,356,0,356,0
Celonis,347,232,114,1
Microsoft Azure Data Explorer,345,11,0,334
MICROSOFT,335,7,0,328
Unity Technologies,330,176,0,154
McKinsey.org,324,324,0,0
Intel,308,100,20,188
EDUCAUSE,302,58,91,153
Microsoft Student Ambassadors,301,17,0,284
The Trade Desk,296,0,0,296
Institute for Integrative Nutrition,296,0,0,296
Microsoft Global Challenger,296,0,0,296
Microsoft - INSEAD,290,0,0,290
Autodesk,289,1,0,288
OPSWAT,287,148,139,0
Microsoft Security,282,35,0,247
Make,274,274,0,0
PeopleCert,268,0,0,268
Skillable,267,3,8,256
Microsoft MCAPS Academy,263,76,0,187
Co-Active Training Institute,259,0,259,0
NI (National Instruments),258,91,157,10
Quality Matters,257,0,86,171
International Association of Accessibility Professionals (IAAP),254,0,141,113
Notion HQ,249,0,18,231
Miro,248,186,0,62
Alteryx,240,34,0,206
ASIS International,236,1,123,112
Association for Project Management,232,41,187,4
Check Point Software Technologies,227,3,1,223
APIsec University,211,34,19,158
Kyndryl,208,147,0,61
Canadian Securities Institute,206,0,0,206
OneTrust,203,189,0,14
Acronis,203,201,0,2
Intuit,201,197,0,4
O'Reilly Media,201,0,201,0
IBM-SkillsBuild,198,198,0,0
Dell Technologies,189,6,151,32
GitLab,186,21,157,8
Okta,185,2,162,21
Python Institute,183,0,61,122
"National Board for Certified Counselors, Inc. - Greensboro, NC",175,0,0,175
RMIT,173,1,0,172
CAIA Association,173,0,173,0
Association of International Certified Professional Accountants,172,0,158,14
Harvard Business Publishing Corporate Learning,172,0,2,170
Virtually Testing Foundation,171,171,0,0
Wharton Online,168,0,147,21
PECB,167,0,0,167
STEM Learning,165,1,0,164
SuccessCOACHING,163,0,130,33
MongoDB,162,94,64,4
NACD - National Association of Corporate Directors,162,0,162,0
Commission on Dietetic Registration (CDR),160,0,160,0
Palo Alto Networks,153,32,94,27
Aviatrix,147,0,25,122
Ericsson,146,2,45,99
ICAgile,141,0,141,0
Hogan Assessments,140,0,140,0
Cloud Security Alliance,137,0,105,32
Capacitación USACH,136,88,48,0
ILM,136,0,0,136
edX,135,1,130,4
UNSW,134,68,5,61
Microsoft Education,132,18,1,113
Shopify,130,15,115,0
Astronomer,130,0,126,4
NetApp,127,16,25,86
Engineers Australia,124,0,3,121
The Institute of Internal Auditors,124,0,0,124
Isovalent,120,120,0,0
WorldQuant University,120,120,0,0
Claris,118,115,3,0
City & Guilds,115,4,20,91
Microsoft AI Business Solutions Enablement,110,18,0,92
Cohesity,107,79,8,20
Capella University,107,0,0,107
Proofpoint,106,102,4,0
NVIDIA,106,18,88,0
Wharton Executive Education,105,0,103,2
Informa,100,0,29,71
Solo.io,99,99,0,0
School of Motion,99,0,97,2
AGSM@UNSW Business School,98,17,0,81
AWS Worldwide Field Enablement,98,45,0,53
Ping Identity Training,97,32,41,24
The Association for Talent Development,97,0,64,33
FT Board Director Programme,96,0,7,89
IFRS Foundation,96,0,0,96
Digital Bookkeeper Association,96,0,0,96
KNIME,95,48,37,10
Veeam,95,0,0,95
CFA Society United Kingdom,93,0,93,0
American Association for Marriage and Family Therapy,93,0,92,1
Certified Life Coach Institute,93,0,93,0
Sophia Learning,93,0,92,1
Sitecore,91,27,64,0
RangeForce,91,53,38,0
Learning Strategy and Design,91,0,91,0
ATD Certification Institute,91,0,75,16
Apple Inc.,91,0,0,91
Association of Certified Fraud Examiners (ACFE),90,0,90,0
"Lightbend, Inc.",90,0,0,90
Interskill Learning,89,0,0,89
TD SYNNEX,88,51,0,37
Exemplar Global,88,0,85,3
Braze,88,0,81,7
Deakin University,86,0,6,80
IICRC,85,0,71,14
National Wood Flooring Association,85,0,84,1
Microsoft Customer Connection,82,1,0,81
International Behavior Analysis Organization,82,0,82,0
College for Financial Planning,82,0,79,3
University of Phoenix,81,0,1,80
ClearFit,81,0,0,81
American Mensa,81,0,0,81
Challenger,79,0,79,0
Learning and Performance Institute,79,0,0,79
Teradata,78,37,10,31
IDOL courses,78,5,73,0
Genesys,78,2,0,76
PCI Security Standards Council,78,0,0,78
Qlik,77,16,38,23
Microsoft Modern Marketer,77,0,0,77
Salesforce Accredited Professional,76,0,74,2
Worldchefs,75,49,9,17
Commvault,75,3,0,72
HashiCorp Community,75,0,0,75
Acreditta,73,52,11,10
CoreNet Global,73,1,34,38
Institute for Credentialing Excellence,73,0,35,38
"Saïd Business School, University of Oxford",73,0,73,0
NeuroLeadership Institute,72,0,72,0
Pharmacy Technician Certification Board,71,0,63,8
R3,71,0,58,13
American Board of Obstetrics and Gynecology (ABOG),70,0,0,70
F5,69,12,44,13
National Minority Supplier Development Council,69,6,0,63
Cadence Design Systems,69,0,0,69
National Board for Health & Wellness Coaching,68,0,68,0
Griffith University,68,0,0,68
Gallup,67,0,67,0
EDM Association,67,0,16,51
LIBF Part of Walbrook Institute London,66,0,0,66
Microsoft Americas Azure Team,64,20,0,44
Pearson Higher Education,64,2,0,62
Events Industry Council,64,0,64,0
Microsoft - Kellogg,64,0,0,64
VMware Skyline,63,63,0,0
NASA Open Science,63,63,0,0
Esri,63,3,57,3
Micro Focus (now OpenText),63,36,20,7
In Professional Development,63,0,60,3
ZoomInfo,62,0,0,62
JB Sales Training,61,0,61,0
National Board for Professional Teaching Standards,61,0,0,61
Cato Networks,59,59,0,0
National Association for Healthcare Quality® (NAHQ),59,0,59,0
IAB,59,0,3,56
Sarmaaya Financials,59,0,59,0
Siemens Digital Industries Software,59,0,3,56
Avid Technology,58,0,57,1
"Microsoft Machine Learning, AI & Data Science Conference (MLADS)",57,50,0,7
Akamai,57,2,7,48
Dassault Systèmes,57,0,0,57
MyInnerGenius,56,56,0,0
Accenture,56,0,25,31
Zendesk,54,38,16,0
Jamf,54,35,19,0
Ivey Business School Executive Education,54,0,3,51
AVIXA,53,0,53,0
Tilt 365,53,0,53,0
EGN (Executives' Global Network),53,0,49,4
Competent Boards,53,0,42,11
Association for Supply Chain Management (ASCM),52,2,50,0
iTTi,52,2,50,0
RIPE NCC,52,0,52,0
GRC Academy,52,0,52,0
Mortgage Bankers Association,51,35,15,1
Singularity,51,6,42,3
IFS,51,0,0,51
Optimizely,50,12,16,22
Property Council of Australia,50,17,7,26
Everpure Certification (formerly Pure Storage),50,0,41,9
PagerDuty,50,0,0,50
Chainlink Labs,49,49,0,0
Logitech,49,49,0,0
IMA | Institute of Management Accountants,49,4,0,45
ASAE,49,0,49,0
OET,49,0,0,49
EFQM,48,3,45,0
Healthcare Businesswomen's Association,48,0,0,48
HP University,47,39,8,0
Blanchard,47,2,35,10
The Coaching Academy,47,0,42,5
Resilience-Building Leader Program,47,0,14,33
Certified Management Accountant: CMA®,47,0,0,47
Docusign,47,0,0,47
Outreach,47,0,0,47
Boston Consulting Group,47,0,0,47
Pinterest,46,46,0,0
Badge Nation,46,43,3,0
